id,city_id,followers,following,created_at,updated_at
42444957,0,39,57,2018-08-16,2024-02-22
42467511,0,10,4,2018-08-17,2020-04-05
42467879,0,24,58,2018-08-17,2024-03-20
42474200,0,7,5,2018-08-17,2024-03-26
42480265,0,31,49,2018-08-17,2022-09-26
42514329,,0,0,2018-08-19,2018-09-22
42523503,0,8,16,2018-08-19,2023-04-22
42525101,0,21,3,2018-08-20,2023-09-21
42549629,,4,14,2018-08-20,2023-03-29
42620788,,0,0,2018-08-22,2024-03-20
42754835,0,4,4,2018-08-27,2024-03-25
43109400,0,0,0,2018-09-09,2021-11-19
43118662,,0,0,2018-09-09,2018-09-09
43201355,0,0,0,2018-09-12,2018-09-12
43210563,,0,0,2018-09-12,2024-04-03
43370602,,6,9,2018-09-18,2024-03-20
43378132,0,0,0,2018-09-18,2020-04-14
43734209,0,5,10,2018-10-01,2024-02-05
43747467,,32,19,2018-10-01,2024-03-30
43817914,,0,0,2018-10-03,2023-02-27
43821098,,5,14,2018-10-03,2024-04-05
43821186,0,17,26,2018-10-03,2024-04-04
43821712,0,12,15,2018-10-03,2023-08-26
43958695,,44,81,2018-10-08,2024-04-04
43968882,0,0,0,2018-10-08,2022-06-08
43994481,0,7,3,2018-10-09,2024-03-27
44169298,0,2,0,2018-10-15,2023-12-27
44199686,,3,3,2018-10-16,2023-10-12
44263333,0,0,3,2018-10-18,2023-09-26
44263403,0,0,0,2018-10-18,2024-03-20
44291462,,0,0,2018-10-19,2024-04-03
44292931,0,8,9,2018-10-19,2024-03-18
44316750,,1,1,2018-10-20,2023-06-29
44390449,0,0,0,2018-10-23,2018-12-22
44422949,0,0,2,2018-10-24,2023-09-11
44497540,0,1,0,2018-10-26,2024-04-03
44563964,0,15,6,2018-10-29,2024-02-03
44651421,0,4,2,2018-10-31,2024-04-05
44772199,,4,5,2018-11-05,2024-04-04
44864959,0,7,8,2018-11-08,2023-03-22
45214105,0,3,4,2018-11-20,2019-05-15
45265091,0,2,1,2018-11-22,2019-02-13
45293066,0,6,6,2018-11-23,2024-03-17
45297854,0,0,0,2018-11-23,2018-11-23
45578804,,4,6,2018-12-03,2024-03-27
45593347,0,17,6,2018-12-04,2024-04-04
45792465,0,0,0,2018-12-11,2023-10-30
45899321,2,0,1,2018-12-15,2022-05-06
46009152,5,3,0,2018-12-19,2022-08-31
46033905,,0,0,2018-12-20,2021-01-13
46064302,0,1,1,2018-12-22,2022-09-07
46064379,0,0,0,2018-12-22,2020-09-02
46070272,0,0,1,2018-12-22,2021-08-29
46302322,0,19,10,2019-01-01,2024-01-24
46322274,,78,92,2019-01-02,2024-01-22
46411490,,4,8,2019-01-06,2024-04-04
46556049,,4,14,2019-01-10,2024-03-18
46570027,8,1,3,2019-01-10,2024-02-25
46646020,,0,0,2019-01-13,2019-04-02
46673118,6,1,5,2019-01-14,2021-07-14
46774978,,0,0,2019-01-17,2019-03-31
47160679,,0,0,2019-01-29,2023-04-27
47382637,,1,0,2019-02-06,2023-07-05
47387872,,0,0,2019-02-06,2019-02-06
47447576,0,2,2,2019-02-08,2024-02-22
